iter	Passed	Remaining
0	123	123718
1	125	62776
2	127	42384
3	128	32029
4	129	25814
5	131	21760
6	132	18805
7	133	16534
8	134	14760
9	134	13340
10	135	12186
11	136	11252
12	137	10458
13	138	9759
14	139	9159
15	140	8632
16	141	8167
17	142	7747
18	142	7374
19	143	7043
20	144	6753
21	145	6484
22	147	6244
23	147	6014
24	149	5833
25	150	5655
26	151	5471
27	152	5303
28	153	5142
29	154	4992
30	155	4851
31	156	4719
32	156	4595
33	157	4482
34	158	4371
35	159	4271
36	160	4176
37	161	4087
38	162	4009
39	163	3927
40	164	3844
41	165	3766
42	166	3698
43	166	3628
44	167	3560
45	168	3495
46	169	3431
47	170	3372
48	170	3317
49	171	3266
50	172	3215
51	173	3166
52	174	3124
53	175	3078
54	176	3033
55	177	2990
56	178	2948
57	179	2907
58	180	2871
59	180	2833
60	181	2794
61	182	2760
62	183	2727
63	184	2695
64	185	2667
65	186	2640
66	187	2610
67	187	2576
68	188	2548
69	189	2520
70	190	2493
71	191	2466
72	192	2441
73	193	2416
74	193	2391
75	194	2367
76	195	2345
77	196	2326
78	198	2308
79	198	2285
80	199	2264
81	200	2242
82	201	2222
83	201	2201
84	202	2179
85	203	2161
86	204	2141
87	204	2123
88	205	2106
89	206	2092
90	207	2077
91	209	2062
92	209	2046
93	210	2030
94	211	2014
95	212	1999
96	213	1983
97	213	1968
98	214	1954
99	215	1941
100	216	1927
101	216	1910
102	217	1896
103	219	1886
104	220	1878
105	221	1866
106	222	1853
107	222	1839
108	223	1827
109	224	1815
110	225	1803
111	226	1791
112	226	1780
113	227	1767
114	232	1791
115	233	1779
116	234	1768
117	235	1757
118	235	1745
119	236	1735
120	237	1724
121	238	1714
122	238	1702
123	239	1691
124	240	1681
125	241	1672
126	241	1663
127	242	1652
128	243	1644
129	244	1637
130	245	1629
131	246	1621
132	247	1612
133	248	1603
134	248	1595
135	249	1586
136	250	1579
137	251	1570
138	252	1562
139	253	1555
140	254	1547
141	255	1541
142	256	1537
143	257	1530
144	258	1522
145	259	1515
