iter	Passed	Remaining
0	139	139795
1	141	70494
2	142	47351
3	143	35731
4	144	28733
5	145	24107
6	146	20781
7	147	18286
8	148	16333
9	149	14762
10	149	13483
11	150	12417
12	151	11512
13	152	10734
14	153	10064
15	154	9487
16	155	8976
17	156	8517
18	156	8098
19	157	7726
20	158	7393
21	159	7092
22	160	6814
23	161	6555
24	161	6316
25	162	6095
26	163	5891
27	164	5700
28	165	5525
29	165	5359
30	166	5205
31	167	5079
32	169	4956
33	170	4836
34	171	4719
35	172	4614
36	173	4512
37	174	4415
38	175	4319
39	176	4231
40	177	4141
41	177	4059
42	178	3980
43	179	3902
44	180	3826
45	181	3764
46	182	3705
47	183	3640
48	184	3585
49	185	3527
50	186	3473
51	187	3417
52	188	3364
53	189	3311
54	189	3262
55	190	3212
56	191	3164
57	192	3118
58	192	3073
59	193	3029
60	194	2986
61	194	2945
62	195	2910
63	197	2881
64	198	2849
65	199	2817
66	200	2786
67	201	2758
68	202	2728
69	203	2697
70	203	2668
71	204	2638
72	205	2609
73	206	2579
74	206	2552
75	207	2525
76	208	2500
77	209	2475
78	210	2457
79	211	2434
80	212	2413
81	213	2391
82	214	2368
83	215	2347
84	216	2326
85	217	2306
86	217	2286
87	218	2267
88	219	2247
89	220	2227
90	221	2208
91	221	2190
92	222	2172
93	223	2154
94	224	2137
95	225	2125
96	226	2111
97	227	2097
98	228	2081
99	229	2068
100	230	2053
101	231	2039
102	232	2027
103	233	2013
104	234	1999
105	235	1985
106	236	1972
107	237	1958
108	237	1945
109	239	1938
110	240	1928
111	242	1924
112	243	1912
113	244	1902
114	246	1897
115	247	1886
116	248	1872
117	248	1860
118	249	1847
119	251	1841
120	251	1829
121	252	1816
122	253	1804
123	254	1795
124	255	1786
125	256	1775
126	257	1770
127	258	1762
128	259	1753
129	260	1745
130	261	1734
131	262	1724
132	264	1721
133	264	1711
134	265	1701
135	266	1692
136	266	1681
137	267	1672
138	268	1663
139	269	1657
140	270	1649
141	271	1639
142	272	1630
143	272	1622
144	273	1613
145	275	1611
146	276	1604
147	277	1596
148	278	1588
149	279	1581
150	279	1573
151	281	1572
152	283	1568
153	284	1563
154	285	1556
155	286	1548
156	287	1541
157	287	1534
158	289	1528
159	289	1522
160	290	1513
161	291	1508
162	292	1502
163	294	1498
164	294	1491
165	295	1484
166	296	1477
167	297	1473
168	298	1467
169	299	1463
170	300	1457
171	301	1450
172	302	1445
173	303	1439
174	304	1433
175	305	1429
176	306	1425
177	307	1419
178	308	1413
179	308	1407
180	309	1401
181	310	1394
182	311	1388
183	312	1384
184	312	1378
185	314	1374
186	315	1369
187	315	1364
188	316	1359
189	317	1354
190	318	1349
191	319	1344
192	320	1339
193	321	1334
194	322	1329
195	322	1324
196	323	1319
197	324	1313
198	325	1308
199	325	1303
200	327	1300
201	328	1297
202	329	1294
203	330	1289
204	331	1285
205	332	1282
206	333	1277
207	334	1273
208	335	1269
209	336	1265
210	337	1263
211	338	1258
212	339	1254
213	340	1250
214	341	1246
215	342	1244
216	344	1242
217	345	1241
218	347	1240
219	348	1235
220	349	1231
221	350	1227
222	351	1223
223	352	1219
224	352	1215
225	353	1211
226	354	1207
227	355	1203
228	356	1201
229	357	1197
230	358	1194
231	359	1190
232	360	1186
233	361	1183
234	362	1179
235	363	1176
236	364	1172
237	364	1168
238	365	1164
239	366	1160
240	367	1156
241	367	1152
242	368	1148
243	369	1144
244	369	1140
245	370	1136
246	371	1133
247	374	1134
248	375	1131
249	376	1128
250	377	1125
251	378	1122
252	378	1118
253	380	1116
254	380	1112
255	381	1108
